window,experiment_week_index,model,target,wape_micro,mae,rmse,forecast_bias,n,train_seconds,peak_memory_mb
5,63,LightGBM_Poisson,margin_window_xof_7j,0.16583897385443147,10766.121902722436,28453.314118130707,0.0086670098684526,300,0.3484,10.787
5,63,LightGBM_Tweedie,margin_window_xof_7j,0.15083337446434963,9791.971445189794,28639.580867031273,-0.0022038565778110053,300,0.3705,10.787
5,63,LightGBM_L1,margin_window_xof_7j,0.20423900815943621,13259.0187217735,54046.76791057724,-0.07616189035717362,300,0.4176,10.787
5,63,LightGBM_Monotone,margin_window_xof_7j,0.15128416010515344,9821.23605680727,29184.35105570683,-0.0026916232225594277,300,0.4335,10.787
5,63,CatBoost_MAE,margin_window_xof_7j,0.2548923367148596,16547.388743195745,59230.266477242076,-0.07181427891011757,300,1.1023,10.787
5,63,Hurdle_zero_positif,margin_window_xof_7j,0.15020202609279779,9750.984858181731,28896.44533721127,0.0017452614998565135,300,0.5726,10.787
5,63,S_learner,margin_window_xof_7j,0.15083337446434963,9791.971445189794,28639.580867031273,-0.0022038565778110053,300,0.3601,10.787
5,63,T_learner,margin_window_xof_7j,0.13826459178977837,8976.017008797555,28030.593934576988,-0.005214057805029619,300,0.8133,10.787
5,63,Ensemble_contraint,margin_window_xof_7j,0.14454103036731478,9383.477940749655,28493.018705658633,-0.0020534731759108693,300,0.0,10.787
6,64,baseline_moyenne_produit,margin_window_xof_7j,0.11132053244902824,7359.952550046205,18172.712264057667,-0.019389412129378836,300,0.0034,11.071
6,64,baseline_mediane_produit,margin_window_xof_7j,0.10618617934579405,7020.495,19541.852439337305,-0.023683974096029098,300,0.0032,11.071
6,64,GLM_Poisson,margin_window_xof_7j,0.32026126766813906,21174.060901428307,51847.016820388635,0.00048735106229741854,300,0.3344,11.071
6,64,GLM_Tweedie,margin_window_xof_7j,0.3334905786158729,22048.71626556529,57730.19395453751,0.00038928685631893793,300,0.2727,11.071
6,64,LightGBM_Poisson,margin_window_xof_7j,0.15343032285159652,10144.03965812039,21902.751598661565,-0.012897259165599605,300,0.3601,11.071
6,64,LightGBM_Tweedie,margin_window_xof_7j,0.13371124982453395,8840.31393369907,21293.622632746916,-0.023034872081798764,300,0.3417,11.071
6,64,LightGBM_L1,margin_window_xof_7j,0.1817722123641132,12017.862549564848,41674.78570040575,-0.08585082288449469,300,0.3605,11.071
6,64,LightGBM_Monotone,margin_window_xof_7j,0.13471079378419523,8906.398742610316,21437.073659539576,-0.022272382906168085,300,0.4275,11.071
6,64,CatBoost_MAE,margin_window_xof_7j,0.25159208697224683,16634.000766486617,56108.4371528671,-0.10185237012127234,300,1.1259,11.071
6,64,Hurdle_zero_positif,margin_window_xof_7j,0.12608286991282655,8335.96390097173,19663.453061502183,-0.01751268289573932,300,0.5578,11.071
6,64,S_learner,margin_window_xof_7j,0.13371124982453395,8840.31393369907,21293.622632746916,-0.023034872081798764,300,0.3963,11.071
6,64,T_learner,margin_window_xof_7j,0.11961586677806035,7908.398247396789,18785.063162374867,-0.024056296484752854,300,0.7876,11.071
6,64,Ensemble_contraint,margin_window_xof_7j,0.12429992438137984,8218.084528477952,19654.970525676068,-0.02128045409555341,300,0.0,11.071
