window,experiment_week_index,model,target,wape_micro,mae,rmse,forecast_bias,n,margin_error,mean_predicted_margin_xof,train_seconds,peak_memory_mb
6,64,baseline_moyenne_produit,units_sold_window_7j,0.1350682267799267,0.5515285926847007,0.9378499241841163,0.005362580617696264,300,0.1113205324490282,64833.02979264261,0.0033,11.103
6,64,baseline_mediane_produit,units_sold_window_7j,0.12857142857142856,0.525,0.9630680142129111,-0.00040816326530612246,300,0.10618617934579405,64549.095,0.0033,11.103
6,64,GLM_Poisson,units_sold_window_7j,0.32726313461996376,1.336324466364852,1.9338280518941733,0.1014873538200664,300,0.29973136623653596,71524.35637173819,0.0574,11.103
6,64,GLM_Tweedie,units_sold_window_7j,0.3329850068524704,1.3596887779809208,1.9944609875892292,0.09145812083956575,300,0.3081505448966098,72149.98904780364,0.0507,11.103
6,64,LightGBM_Poisson,units_sold_window_7j,0.19554832448387663,0.7984889916424962,1.279602646002301,0.055548250008170486,300,0.16862772828276196,68854.67885797418,0.4239,11.103
6,64,LightGBM_Tweedie,units_sold_window_7j,0.17405500544161145,0.7107246055532467,1.2054389209894452,0.046516132391707266,300,0.14639744977763205,68263.30135114239,0.3914,11.103
6,64,LightGBM_L1,units_sold_window_7j,0.18998521432164886,0.7757729584800662,1.3255188216309304,0.044819786951372585,300,0.16255080267474187,67943.20826864586,0.4187,11.103
6,64,LightGBM_Monotone,units_sold_window_7j,0.174693982402632,0.713333761477414,1.2137422734714687,0.04630006126608898,300,0.14748005375575512,68480.34207076351,0.4834,11.103
6,64,CatBoost_Poisson,units_sold_window_7j,0.18297573018317628,0.7471508982479698,1.2383690600572677,0.0654897845291654,300,0.14372344845578736,69351.13770555594,1.6486,11.103
6,64,Hurdle_zero_positif,units_sold_window_7j,0.16628744520702365,0.6790070679286799,1.1329052251030125,0.04027018989972864,300,0.1302615927463499,67871.6183032198,0.5807,11.103
6,64,S_learner,units_sold_window_7j,0.17405500544161145,0.7107246055532467,1.2054389209894452,0.046516132391707266,300,0.14639744977763205,68263.30135114239,0.4077,11.103
6,64,T_learner,units_sold_window_7j,0.1578779736523042,0.6446683924135754,1.1141257470732546,0.02689758653161486,300,0.13083506562170114,67238.5036861582,0.7931,11.103
6,64,Ensemble_contraint,units_sold_window_7j,0.16403147319603603,0.6697951822171471,1.1245072988642884,0.037822612565810834,300,0.13227942894007552,67863.48802004717,0.0,11.103
