window,experiment_week_index,model,target,wape_micro,mae,rmse,forecast_bias,n,train_seconds,peak_memory_mb
5,63,S_learner,revenue_window_xof_7j,0.152754717394177,50981.78967646984,152816.43053482508,0.003361043057280528,300,0.3715,9.405
5,63,T_learner,revenue_window_xof_7j,0.14178394731160018,47320.302146133436,138513.4592705015,-0.004400472651970613,300,0.7655,9.405
5,63,Ensemble_contraint,revenue_window_xof_7j,0.1466908211496078,48957.96816552547,145466.30072738268,0.0021595809852819085,300,0.0,9.405
6,64,baseline_moyenne_produit,revenue_window_xof_7j,0.10670168620082451,36245.31403701925,96060.84515777671,-0.021293620278917718,300,0.0042,11.061
6,64,baseline_mediane_produit,revenue_window_xof_7j,0.09825493055697365,33376.05,99527.26018826869,-0.027048748583615712,300,0.0047,11.061
6,64,GLM_Poisson,revenue_window_xof_7j,0.2612179779283363,88732.68998118748,239128.56475215865,0.010378185029330285,300,0.2466,11.061
6,64,GLM_Tweedie,revenue_window_xof_7j,0.26987599101361925,91673.71569864497,258489.34092734617,0.007280511808747316,300,0.207,11.061
6,64,LightGBM_Poisson,revenue_window_xof_7j,0.1354973487983823,46026.86361617169,109077.05279240468,-0.01074955851827641,300,0.3308,11.061
6,64,LightGBM_Tweedie,revenue_window_xof_7j,0.12424499344326731,42204.57019210464,107176.90122215,-0.013461527941210133,300,0.3514,11.061
6,64,LightGBM_L1,revenue_window_xof_7j,0.14075550261315667,47812.996929123736,163750.8031750771,-0.05340844668548671,300,0.4345,11.061
6,64,LightGBM_Monotone,revenue_window_xof_7j,0.12344977442878956,41934.44359959975,106277.34012415145,-0.013028151940076038,300,0.4418,11.061
6,64,CatBoost_MAE,revenue_window_xof_7j,0.15988538678283415,54311.19469815211,176834.30461458775,-0.04117305031092134,300,1.1373,11.061
6,64,Hurdle_zero_positif,revenue_window_xof_7j,0.11872094836840526,40328.116729914866,99365.40058853725,-0.016208543479395265,300,0.6011,11.061
6,64,S_learner,revenue_window_xof_7j,0.12424499344326731,42204.57019210464,107176.90122215,-0.013461527941210133,300,0.3695,11.061
6,64,T_learner,revenue_window_xof_7j,0.10993159207730736,37342.47526259536,108314.0025153411,-0.023381618778653163,300,0.8337,11.061
6,64,Ensemble_contraint,revenue_window_xof_7j,0.11643129639918674,39550.34875253154,102326.55213567035,-0.017539438066041482,300,0.0,11.061
